Airport_Name,Aircraft_Make_Model,Effect_Amount_of_damage,Flight_Date,Aircraft_Airline_Operator,Origin_State,Phase_of_flight,Wildlife_Size,Wildlife_Species,Time_of_day,Cost_Other,Cost_Repair,Cost_Total__,Speed_IAS_in_knots
SACRAMENTO INTL,MD-80,None,1991-09-23,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,116
PHILADELPHIA INTL,B-757-200,None,1997-11-16,US AIRWAYS*,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,150
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-200,None,1998-07-06,SOUTHWEST AIRLINES,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-727,None,1991-05-04,DELTA AIR LINES,Kentucky,Approach,Medium,Unknown bird - medium,Day,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,B-737-300,None,2001-06-03,US AIRWAYS*,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,B-757-200,Minor,1995-09-14,UNITED AIRLINES,DC,Approach,Large,Canada goose,Night,0,0,0,140
MEMPHIS INTL,DC-10-30,None,2001-09-16,FEDEX EXPRESS,Tennessee,Approach,Large,Unknown bird - large,Day,0,0,0,140
RONALD REAGAN WASHINGTON NATL,FOKKER F100,None,2000-12-26,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,140
PHILADELPHIA INTL,A-300,None,2002-06-26,FEDEX EXPRESS,Pennsylvania,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,80
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1998-09-22,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Dusk,0,0,0,220
GEORGE BUSH INTERCONTINENTAL,MD-88,None,2002-07-03,DELTA AIR LINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,B-737-200,None,2001-09-09,UNITED AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,
CHICAGO O'HARE INTL ARPT,B-767-200,None,1993-08-20,AMERICAN AIRLINES,Illinois,Climb,Small,Barn swallow,Day,0,0,0,200
CLEVELAND-HOPKINS INTL ARPT,B-737-300,None,1997-11-07,US AIRWAYS*,Ohio,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,
LIHUE ARPT,B-737-200,None,1990-11-16,ALOHA AIRLINES,Hawaii,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,100
SAN FRANCISCO INTL ARPT,DC-10-10,None,1993-12-12,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,150
CHARLESTON AFB/INTL ARPT,C-141B,None,1998-09-17,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,150
CHICAGO O'HARE INTL ARPT,CL-RJ100/200,None,2001-10-05,ATLANTIC COAST AIRLINES,Illinois,Climb,Large,Unknown bird - large,Night,0,0,0,250
RONALD REAGAN WASHINGTON NATL,FOKKER F100,None,2001-06-12,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Day,0,0,0,210
ATLANTIC CITY INTL,B-737,None,1997-05-19,ATLANTIC SOUTHEAST,New Jersey,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,
METRO OAKLAND INTL,B-737-300,None,1991-07-02,SOUTHWEST AIRLINES,California,Climb,Small,American robin,Day,0,0,0,145
MEMPHIS INTL,B-727,None,2002-07-07,DELTA AIR LINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,105
JOHN F KENNEDY INTL,B-747-400,None,1997-09-28,JAPAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,ATR-42,None,1995-08-04,AMERICAN EAGLE AIRLINES,Illinois,Climb,Medium,Mallard,Day,0,0,0,90
SALT LAKE CITY INTL,L-1011,None,1994-09-13,DELTA AIR LINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,Minor,1992-11-06,ATLANTIC COAST AIRLINES,DC,Approach,Large,Canada goose,Day,0,0,0,170
SAN ANTONIO INTL,B-737-200,None,1991-04-08,SOUTHWEST AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,240
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1997-12-22,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100
SAN FRANCISCO INTL ARPT,B-777-200,None,2001-12-01,UNITED AIRLINES,California,Approach,Small,Barn owl,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,ATR-72,None,1996-11-18,AMERICAN EAGLE AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
WILL ROGERS WORLD ARPT,B-737-200,None,1995-02-27,SOUTHWEST AIRLINES,Oklahoma,Take-off run,Small,Unknown bird - small,Day,0,0,0,135
JOHN F KENNEDY INTL,B-747-400,Substantial,1991-01-01,NORTHWEST AIRLINES,New York,Take-off run,Medium,Ring-billed gull,Day,0,0,0,
SAN ANTONIO INTL,MD-80,None,1998-12-04,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Dusk,0,0,0,130
JOHN F KENNEDY INTL,B-767-200,None,2000-02-26,AMERICAN AIRLINES,New York,Take-off run,Small,Unknown bird - small,Day,0,0,0,145
LOUISVILLE INTL ARPT,B-757-200,None,2000-09-26,UPS AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Night,0,0,0,210
LOGAN INTL,FOKKER F100,None,2001-05-29,AMERICAN AIRLINES,Massachusetts,Approach,Small,Unknown bird - small,Night,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1992-10-26,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,150
NEW ORLEANS INTL,B-757-200,None,1997-10-18,DELTA AIR LINES,Louisiana,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,190
TETERBORO AIRPORT,MOONEY-20J,Minor,1998-03-06,BUSINESS,New Jersey,Descent,Medium,Unknown bird - medium,Night,0,0,0,110
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,1994-07-28,AMERICAN EAGLE AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
LOGAN INTL,A-319,None,1999-05-13,AMERICA WEST AIRLINES,Massachusetts,Approach,Medium,Unknown bird - medium,Night,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1992-10-06,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,160
NEW ORLEANS INTL,B-757-200,None,1997-02-10,DELTA AIR LINES,Louisiana,Approach,Medium,Unknown bird - medium,Night,0,0,0,125
GEORGE BUSH INTERCONTINENTAL,B-727,None,1993-11-21,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SAN FRANCISCO INTL ARPT,A-319,None,2002-01-14,AMERICA WEST AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,125
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-30,Medium,1998-06-03,US AIRWAYS*,North Carolina,Climb,Medium,Unknown bird - medium,Day,0,0,0,200
BALTIMORE WASH INTL,B-727-100,None,1997-10-02,FEDEX EXPRESS,Maryland,Climb,Small,Unknown bird - small,Night,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1999-05-20,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160
CHARLESTON AFB/INTL ARPT,C-17A,None,2000-10-31,MILITARY,South Carolina,Approach,Small,American robin,Night,0,0,0,230
PORTLAND INTL (OR),MD-82,None,1997-12-14,AMERICAN AIRLINES,Oregon,Landing Roll,Small,Barn owl,Night,0,0,0,
NASHVILLE INTL,B-727,Minor,1991-09-01,AMERICAN AIRLINES,Tennessee,Climb,Medium,Unknown bird - medium,Day,0,0,0,
MEMPHIS INTL,DC-10,None,2000-09-29,FEDEX EXPRESS,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,115
LOUISVILLE INTL ARPT,MD-88,None,1992-08-21,DELTA AIR LINES,Kentucky,Climb,Medium,Unknown bird - medium,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,MD-80,None,1990-09-05,AMERICAN AIRLINES,Illinois,Approach,Small,Rock pigeon,Dusk,0,0,0,135
SACRAMENTO INTL,A-320,None,2002-04-22,UNITED AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1997-06-02,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727-200,Substantial,1992-02-20,AMERICAN AIRLINES,Texas,Climb,Large,Unknown bird - large,Night,0,0,0,250
NEW ORLEANS INTL,MD-83,None,1997-10-15,AMERICAN AIRLINES,Louisiana,Climb,Small,Unknown bird - small,Dawn,0,0,0,190
NEW ORLEANS INTL,B-727-200,Medium,1994-07-12,CONTINENTAL AIRLINES,Louisiana,Climb,Small,Laughing gull,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9,None,1994-09-02,TRANS WORLD AIRLINES,Kentucky,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CHARLESTON AFB/INTL ARPT,C-141,None,1996-07-16,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,110
GEORGE BUSH INTERCONTINENTAL,MD-82,None,1992-07-04,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,120
EPPLEY AIRFIELD,B-727-200,None,2001-08-29,UNITED AIRLINES,Nebraska,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,
SALT LAKE CITY INTL,C-172,Substantial,1996-11-23,PRIVATELY OWNED,Utah,Approach,Large,Unknown bird - large,Dawn,0,0,0,
MEMPHIS INTL,B-727,None,1996-01-05,FEDEX EXPRESS,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,150
WILL ROGERS WORLD ARPT,FOKKER F100,None,1999-09-07,AMERICAN AIRLINES,Oklahoma,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100
SALT LAKE CITY INTL,B-737-300,None,1999-07-20,SOUTHWEST AIRLINES,Utah,Approach,Small,Blackbirds,Day,0,0,0,160
CHICAGO O'HARE INTL ARPT,FOKKER F28 MK 1000,None,2001-05-17,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,160
WASHINGTON DULLES INTL ARPT,CL-RJ100/200,None,2001-11-05,ATLANTIC COAST AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,
MINNEAPOLIS-ST PAUL INTL,MD-82,None,2001-09-03,AMERICAN AIRLINES,Minnesota,Approach,Small,Unknown bird - small,Night,0,0,0,160
PHILADELPHIA INTL,B-737-300,None,1998-08-19,US AIRWAYS*,Pennsylvania,Take-off run,Small,Mourning dove,Dawn,0,0,0,130
SACRAMENTO INTL,B-737-300,None,1999-01-06,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52G,None,1992-08-13,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,115
MINETA SAN JOSE INTL,MD-82,None,2000-12-02,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,130
ATLANTIC CITY INTL,F-16A,None,1999-01-12,MILITARY,New Jersey,Landing Roll,Small,Mourning dove,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,ATR-72,None,2000-11-09,AMERICAN EAGLE AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,240
DALLAS/FORT WORTH INTL ARPT,DC-8,None,1993-11-11,UPS AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,
GREATER PITTSBURGH,DC-9-30,Medium,1990-12-21,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
BALTIMORE WASH INTL,FOKKER F100,None,1994-10-31,AMERICAN AIRLINES,Maryland,Climb,Small,Unknown bird - small,Day,0,0,0,140
CLEVELAND-HOPKINS INTL ARPT,MD-80,Minor,1990-07-23,AMERICAN AIRLINES,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,140
INDIANAPOLIS INTL,DC-9-30,None,1995-09-29,NORTHWEST AIRLINES,Indiana,Take-off run,Small,Unknown bird - small,Day,0,0,0,
LOS ANGELES INTL,B-767,None,2000-08-17,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,
SALT LAKE CITY INTL,B-727,None,1998-08-22,ASTAR AIR CARGO,Utah,Climb,Medium,Unknown bird - medium,Day,0,0,0,
AUSTIN-BERGSTROM INTL,MD-80,None,1997-03-12,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,170
LAMBERT-ST LOUIS INTL,B-737-200,None,1996-07-24,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,128
LOS ANGELES INTL,EMB-120,None,1996-08-29,SKYWEST AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,100
WASHINGTON DULLES INTL ARPT,MD-80,None,1991-08-19,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,130
CHARLESTON AFB/INTL ARPT,C-17A,None,2000-12-12,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,130
ATLANTIC CITY INTL,LEARJET-55,None,2002-07-11,BUSINESS,New Jersey,Landing Roll,Small,Mourning dove,Dusk,0,0,0,
MINNEAPOLIS-ST PAUL INTL,A-320,None,1997-07-26,NORTHWEST AIRLINES,Minnesota,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
ATLANTA INTL,MD-88,None,1995-07-31,DELTA AIR LINES,Georgia,Climb,Small,European starling,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1998-04-11,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,170
DALLAS/FORT WORTH INTL ARPT,CITATION X,None,2001-10-24,EXECUTIVE JET AVIATION,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,
MINETA SAN JOSE INTL,MD-80,None,1990-08-27,AMERICAN AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,160
BALTIMORE WASH INTL,B-737-700,Minor,2000-11-16,SOUTHWEST AIRLINES,Maryland,Landing Roll,Large,White-tailed deer,Night,0,0,0,120
LAGUARDIA NY,B-737-400,None,1995-08-25,US AIRWAYS*,New York,Landing Roll,Medium,American crow,Day,0,0,0,110
SALT LAKE CITY INTL,B-767,None,1993-07-22,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SAN ANTONIO INTL,MD-83,None,1991-04-24,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,170
SACRAMENTO INTL,B-737-300,None,1999-04-15,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140
NEWARK LIBERTY INTL ARPT,B-737-300,None,1995-10-25,CONTINENTAL AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,
MEMPHIS INTL,FOKKER F100,None,1993-07-27,AMERICAN AIRLINES,Tennessee,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
GEORGE BUSH INTERCONTINENTAL,ATR-42,None,1997-01-05,EXPRESSJET (CONTINENTAL EXPRS),Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,210
GEORGE BUSH INTERCONTINENTAL,A-320,None,2002-04-12,AMERICA WEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,140
RONALD REAGAN WASHINGTON NATL,MD-80,None,1995-05-03,US AIRWAYS*,DC,Climb,Small,Unknown bird - small,Night,0,0,0,140
RONALD REAGAN WASHINGTON NATL,B-737-200,Minor,1994-01-20,US AIRWAYS*,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,C-130E,None,1993-06-08,MILITARY,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,95
SACRAMENTO INTL,KC-135R,None,1993-03-30,MILITARY,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,150
DALLAS/FORT WORTH INTL ARPT,DC-10-30,Substantial,1993-09-16,AMERICAN AIRLINES,Texas,Take-off run,Small,Rock pigeon,Day,0,0,0,
JOHN F KENNEDY INTL,DC-10-10,None,1998-05-20,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
NEW ORLEANS INTL,BE-1900,None,1994-10-05,MESA AIRLINES,Louisiana,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
CHARLESTON AFB/INTL ARPT,C-17A,None,1998-07-17,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Day,0,0,0,
LOUISVILLE INTL ARPT,DC-8,None,1990-05-31,UPS AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,120
WASHINGTON DULLES INTL ARPT,DC-9-30,Substantial,1996-03-16,US AIRWAYS*,DC,Take-off run,Medium,Ring-billed gull,Day,0,0,0,128
CHICAGO MIDWAY INTL ARPT,B-717-200,None,2002-03-28,AIRTRAN AIRWAYS,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727,None,1990-08-20,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,150
SALT LAKE CITY INTL,B-727,Minor,1990-07-11,DELTA AIR LINES,Utah,Descent,Large,Unknown bird - large,Day,0,0,0,350
MEMPHIS INTL,SAAB-340,None,1995-03-19,PINNACLE,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,160
MEMPHIS INTL,A-300,None,2000-10-06,FEDEX EXPRESS,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,170
GREATER PITTSBURGH,B-737-300,None,1990-09-05,US AIRWAYS*,Pennsylvania,Take-off run,Small,European starling,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-50,None,1997-12-10,NORTHWEST AIRLINES,North Carolina,Take-off run,Small,Mourning dove,Dawn,3037,0,3037,60
LIHUE ARPT,B-737-200,None,1998-08-28,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Zebra dove,Day,0,0,0,
INDIANAPOLIS INTL,B-737-200,None,1990-09-10,US AIRWAYS*,Indiana,Take-off run,Small,Mourning dove,Day,0,0,0,100
SALT LAKE CITY INTL,B-737-300,None,1997-01-16,SOUTHWEST AIRLINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,110
GEORGE BUSH INTERCONTINENTAL,B-757-200,None,2001-04-05,CONTINENTAL AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,135
ATLANTA INTL,B-767-300,None,2001-09-15,DELTA AIR LINES,Georgia,Climb,Medium,Unknown bird - medium,Night,0,0,0,170
DALLAS/FORT WORTH INTL ARPT,DC-10,None,1990-08-31,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,250
SEATTLE-TACOMA INTL,B-737-300,Minor,1995-12-13,SOUTHWEST AIRLINES,Washington,Approach,Large,Canada goose,Night,0,0,0,145
LOGAN INTL,B-757-200,None,1990-11-27,AMERICAN AIRLINES,Massachusetts,Take-off run,Small,Rock pigeon,Day,0,0,0,135
METRO OAKLAND INTL,B-737,None,1995-12-31,SOUTHWEST AIRLINES,California,Approach,Large,Unknown bird - large,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,1999-03-31,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,190
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,FOKKER F28 MK 4000,None,1995-06-30,US AIRWAYS*,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100
SACRAMENTO INTL,MD-80,None,1990-05-05,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,260
SAN ANTONIO INTL,B-757-200,None,1998-05-02,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,127
GREATER PITTSBURGH,DC-9,None,1999-09-10,US AIRWAYS*,Pennsylvania,Approach,Small,Mourning dove,Dawn,0,0,0,125
WILL ROGERS WORLD ARPT,B-737-300,None,1990-06-12,SOUTHWEST AIRLINES,Oklahoma,Approach,Small,Mourning dove,Day,0,0,0,135
GEORGE BUSH INTERCONTINENTAL,A-320,None,2002-06-15,AMERICA WEST AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
LAMBERT-ST LOUIS INTL,FOKKER F28 MK 1000,None,1991-11-25,US AIRWAYS*,Missouri,Climb,Small,Unknown bird - small,Dawn,0,0,0,165
PORTLAND INTL (OR),DHC8 DASH 8,None,1998-03-23,HORIZON AIR,Oregon,Landing Roll,Medium,Mallard,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,KC-135R,None,1995-03-21,MILITARY,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,160
PORTLAND INTL (OR),F-15,None,1991-07-16,MILITARY,Oregon,Approach,Medium,Unknown bird - medium,Day,0,0,0,150
NEW ORLEANS INTL,B-727-100,None,1994-01-04,GOVERNMENT,Louisiana,Approach,Small,Killdeer,Day,0,0,0,
LOS ANGELES INTL,B-757-200,None,1990-11-27,NORTHWEST AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1997-12-19,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,B-737-800,None,2000-10-22,DELTA AIR LINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,
RONALD REAGAN WASHINGTON NATL,B-737-400,Substantial,2001-02-02,US AIRWAYS*,DC,Approach,Medium,Ring-billed gull,Night,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1993-10-22,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,250
SACRAMENTO INTL,BA-31 JETSTR,None,1997-04-07,TRANS STATES AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,160
LOGAN INTL,B-737-200,None,1997-02-01,DELTA AIR LINES,Massachusetts,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140
LOS ANGELES INTL,B-757-200,None,1999-03-25,DELTA AIR LINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
RONALD REAGAN WASHINGTON NATL,A-319,None,1999-10-27,US AIRWAYS*,DC,Climb,Medium,Unknown bird - medium,Night,0,0,0,
INDIANAPOLIS INTL,MD-11,None,2001-11-09,FEDEX EXPRESS,Indiana,Approach,Large,Unknown bird - large,Night,0,0,0,165
CHICAGO O'HARE INTL ARPT,MD-80,None,1994-10-21,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140
PHILADELPHIA INTL,A-320,None,1999-06-25,UNITED AIRLINES,Pennsylvania,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,MD-88,None,1999-03-14,DELTA AIR LINES,Ohio,Approach,Medium,American crow,Day,0,0,0,133
NEW ORLEANS INTL,B-727,None,1993-01-25,AMERICAN AIRLINES,Louisiana,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,
CHARLESTON AFB/INTL ARPT,C-17A,None,1996-10-03,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Night,0,0,0,125
CHARLOTTE/DOUGLAS INTL ARPT,DHC8 DASH 8,Substantial,1996-10-09,PIEDMONT AIRLINES,North Carolina,Approach,Large,Canada goose,Dusk,0,0,0,110
DALLAS/FORT WORTH INTL ARPT,DC-10-10,None,1997-12-16,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-04-21,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170
DALLAS/FORT WORTH INTL ARPT,B-727,None,1994-10-20,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
CLEVELAND-HOPKINS INTL ARPT,B-737-300,Minor,1997-03-24,CONTINENTAL AIRLINES,Ohio,Approach,Large,Unknown bird - large,Night,0,0,0,
LOUISVILLE INTL ARPT,B-757-200,None,1999-09-16,UPS AIRLINES,Kentucky,Descent,Medium,Unknown bird - medium,Night,0,0,0,250
LOUISVILLE INTL ARPT,B-757-200,Medium,1993-08-13,UPS AIRLINES,Kentucky,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,95
PHILADELPHIA INTL,MD-88,None,1996-09-01,DELTA AIR LINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,140
CHARLOTTE/DOUGLAS INTL ARPT,BE-200 KING,None,2001-06-26,PRIVATELY OWNED,North Carolina,Approach,Small,Rock pigeon,Day,0,0,0,105
CHICAGO MIDWAY INTL ARPT,B-737-500,None,2001-04-04,SOUTHWEST AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,230
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,2001-05-19,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
PHILADELPHIA INTL,B-737-300,None,1999-05-07,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,180
JOHN F KENNEDY INTL,ATR-42,None,1994-05-01,AMERICAN EAGLE AIRLINES,New York,Climb,Medium,Unknown bird - medium,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727,None,1994-04-08,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,220
CHICAGO O'HARE INTL ARPT,B-737,None,1995-09-29,UNITED AIRLINES,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
HONOLULU INTL ARPT,DC-9,None,1998-02-11,HAWAIIAN AIR,Hawaii,Take-off run,Small,Rock pigeon,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,B-737-300,None,1993-05-13,UNITED AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,130
NEWARK LIBERTY INTL ARPT,MD-80,None,1990-10-24,CONTINENTAL AIRLINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,2002-06-22,AMERICAN AIRLINES,Texas,Landing Roll,Small,Barn swallow,Day,0,0,0,
NEWARK LIBERTY INTL ARPT,B-757-200,None,1995-10-17,AMERICAN AIRLINES,New Jersey,Descent,Medium,Unknown bird - medium,Night,0,0,0,210
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,1996-07-11,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1997-11-07,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,130
GREATER PITTSBURGH,DC-9,None,1993-07-26,US AIRWAYS*,Pennsylvania,Climb,Small,Mourning dove,Day,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,B-727,None,1998-06-06,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,160
